id,Title,Facility Type,Address,Available Dates
1331,David Rodgers Park Tennis Court 02,Tennis Court - Outdoor (Citywide),"David Rodgers Park 2800 1st AVE W Seattle, WA, 98119","2024-10-06  04:00:00-08:00:00
2024-10-06  09:15:00-09:30:00
2024-10-06  13:00:00-23:30:00"
1330,David Rodgers Park Tennis Court 01,Tennis Court - Outdoor (Citywide),"David Rodgers Park 2800 1st AVE W Seattle, WA, 98119","2024-10-06  04:00:00-10:00:00
2024-10-06  12:00:00-16:00:00
2024-10-06  18:00:00-23:30:00"
1326,Bryant Playground Tennis Court 02,Tennis Court - Outdoor (Citywide),"Bryant Playground 4103 NE 65th ST Seattle, WA, 98115",2024-10-06  07:00:00-21:00:00
1324,Brighton Playfield Tennis Court 02,Tennis Court - Outdoor (Citywide),"Brighton Playfield 6000 39th AVE S Seattle, WA, 98136",2024-10-06  06:00:00-23:00:00
1323,Brighton Playfield Tennis Court 01,Tennis Court - Outdoor (Citywide),"Brighton Playfield 6000 39th AVE S Seattle, WA, 98136",2024-10-06  06:00:00-23:00:00
1325,Bryant Playground Tennis Court 01,Tennis Court - Outdoor (Citywide),"Bryant Playground 4103 NE 65th ST Seattle, WA, 98115","2024-10-06  07:00:00-10:30:00
2024-10-06  11:30:00-21:00:00"
1317,Bitter Lake Playfield Tennis Court 03,Tennis Court - Outdoor (Citywide),"Bitter Lake Playfield 13035 Linden AVE N Seattle, WA, 98133","2024-10-06  07:00:00-09:00:00
2024-10-06  12:00:00-14:00:00
2024-10-06  18:00:00-21:45:00"
1318,Bitter Lake Playfield Tennis Court 04,Tennis Court - Outdoor (Citywide),"Bitter Lake Playfield 13035 Linden AVE N Seattle, WA, 98133",2024-10-06  07:00:00-21:45:00
372,Lower Woodland Playfield Upper Court 04,Tennis Court - Outdoor (Citywide),"Lower Woodland Playfield 1000 N 50TH ST SEATTLE, WA, 98103",2024-10-06  07:00:00-21:00:00
371,Lower Woodland Playfield Upper Court 03,Tennis Court - Outdoor (Citywide),"Lower Woodland Playfield 1000 N 50TH ST SEATTLE, WA, 98103","2024-10-06  07:00:00-10:30:00
2024-10-06  12:30:00-21:00:00"
370,Lower Woodland Playfield Upper Court 02,Tennis Court - Outdoor (Citywide),"Lower Woodland Playfield 1000 N 50TH ST SEATTLE, WA, 98103","2024-10-06  07:00:00-08:30:00
2024-10-06  12:00:00-21:00:00"
369,Lower Woodland Playfield Upper Court 01,Tennis Court - Outdoor (Citywide),"Lower Woodland Playfield 1000 N 50TH ST SEATTLE, WA, 98103","2024-10-06  07:00:00-10:00:00
2024-10-06  12:00:00-12:30:00
2024-10-06  14:00:00-21:00:00"
362,Lower Woodland Playfield Tennis Court 10,Tennis Court - Outdoor (Citywide),"Lower Woodland Playfield 5773 WEST GREEN LAKE WAY N Seattle, WA, 98103",2024-10-06  07:00:00-22:00:00
361,Lower Woodland Playfield Tennis Court 09,Tennis Court - Outdoor (Citywide),"Lower Woodland Playfield 5773 WEST GREEN LAKE WAY N Seattle, WA, 98103",2024-10-06  07:00:00-22:00:00
360,Lower Woodland Playfield Tennis Court 08,Tennis Court - Outdoor (Citywide),"Lower Woodland Playfield 5773 WEST GREEN LAKE WAY N Seattle, WA, 98103","2024-10-06  07:00:00-09:00:00
2024-10-06  12:12:00-13:00:00
2024-10-06  14:00:00-18:00:00
2024-10-06  19:00:00-22:00:00"
1376,Montlake Playfield Tennis Court 02,Tennis Court - Outdoor (Citywide),"Montlake Playfield 1618 E Calhoun ST Seattle, WA, 98112",2024-10-06  04:00:00-23:30:00
2437,Seward Park Tennis Court 02,Tennis Court - Outdoor (Citywide),"Seward Park 5898 Lake Washington BLVD S Seattle, WA, 98118","2024-10-06  06:00:00-10:00:00
2024-10-06  12:00:00-22:00:00"
373,Seward Park Tennis Court 01,Tennis Court - Outdoor (Citywide),"Seward Park 5898 Lake Washington BLVD S Seattle, WA, 98118",2024-10-06  06:00:00-22:00:00
1392,Sam Smith (I90 Lid) Park Tennis Court 02,Tennis Court - Outdoor (Citywide),"Sam Smith Park (I-90 Lid) 1400 Martin Luther King Jr WAY S Seattle, WA, 98144",2024-10-06  04:00:00-23:30:00
1391,Sam Smith (I90 Lid) Park Tennis Court 01,Tennis Court - Outdoor (Citywide),"Sam Smith Park (I-90 Lid) 1400 Martin Luther King Jr WAY S Seattle, WA, 98144","2024-10-06  04:00:00-08:30:00
2024-10-06  11:30:00-15:00:00
2024-10-06  17:00:00-23:30:00"
1390,Rogers Playfield Tennis Court 02,Tennis Court - Outdoor (Citywide),"Rogers (Eastlake) Playfield Eastlake AVE E & E Roanoke ST Seattle, WA, 98112",2024-10-06  08:30:00-23:00:00
1389,Rogers Playfield Tennis Court 01,Tennis Court - Outdoor (Citywide),"Rogers (Eastlake) Playfield Eastlake AVE E & E Roanoke ST Seattle, WA, 98112","2024-10-06  08:30:00-16:00:00
2024-10-06  18:00:00-23:00:00"
1388,Riverview Playfield Tennis Court 02,Tennis Court - Outdoor (Citywide),"Riverview Playfield 7226 12th AVE SW Seattle, WA, 98106",
1411,Walt Hundley Playfield Tennis Court 02,Tennis Court - Outdoor (Citywide),"Walt Hundley Playfield 6920 34th AVE SW Seattle, WA, 98126",2024-10-06  08:30:00-23:00:00
