id,Title,Facility Type,Address,Available Dates
1324,Brighton Playfield Tennis Court 02,Tennis Court - Outdoor (Citywide),"Brighton Playfield 6000 39th AVE S Seattle, WA, 98136",2024-11-02  06:00:00-00:00:00
1323,Brighton Playfield Tennis Court 01,Tennis Court - Outdoor (Citywide),"Brighton Playfield 6000 39th AVE S Seattle, WA, 98136",2024-11-02  06:00:00-00:00:00
1318,Bitter Lake Playfield Tennis Court 04,Tennis Court - Outdoor (Citywide),"Bitter Lake Playfield 13035 Linden AVE N Seattle, WA, 98133",2024-11-02  07:00:00-22:45:00
1317,Bitter Lake Playfield Tennis Court 03,Tennis Court - Outdoor (Citywide),"Bitter Lake Playfield 13035 Linden AVE N Seattle, WA, 98133","2024-11-02  07:00:00-09:30:00
2024-11-02  10:30:00-22:45:00"
1316,Bitter Lake Playfield Tennis Court 02,Tennis Court - Outdoor (Citywide),"Bitter Lake Playfield 13035 Linden AVE N Seattle, WA, 98133","2024-11-02  07:00:00-09:30:00
2024-11-02  10:30:00-12:00:00
2024-11-02  15:00:00-22:45:00"
1315,Bitter Lake Playfield Tennis Court 01,Tennis Court - Outdoor (Citywide),"Bitter Lake Playfield 13035 Linden AVE N Seattle, WA, 98133","2024-11-02  07:00:00-12:00:00
2024-11-02  15:00:00-22:45:00"
1320,Beacon Hill Playfield Tennis Court 02,Tennis Court - Outdoor (Citywide),"Beacon Hill Playfield 1902 13th AVE S Seattle, WA, 98144",2024-11-02  08:30:00-00:00:00
1319,Beacon Hill Playfield Tennis Court 01,Tennis Court - Outdoor (Citywide),"Beacon Hill Playfield 1902 13th AVE S Seattle, WA, 98144",2024-11-02  07:00:00-22:00:00
1331,David Rodgers Park Tennis Court 02,Tennis Court - Outdoor (Citywide),"David Rodgers Park 2800 1st AVE W Seattle, WA, 98119",2024-11-02  04:00:00-00:30:00
1330,David Rodgers Park Tennis Court 01,Tennis Court - Outdoor (Citywide),"David Rodgers Park 2800 1st AVE W Seattle, WA, 98119","2024-11-02  04:00:00-11:00:00
2024-11-02  11:30:00-00:30:00"
1326,Bryant Playground Tennis Court 02,Tennis Court - Outdoor (Citywide),"Bryant Playground 4103 NE 65th ST Seattle, WA, 98115",2024-11-02  07:00:00-19:00:00
1325,Bryant Playground Tennis Court 01,Tennis Court - Outdoor (Citywide),"Bryant Playground 4103 NE 65th ST Seattle, WA, 98115",2024-11-02  07:00:00-19:00:00
284,AYTC Outdoor Tennis Court 06,Tennis Court - Outdoor (AYTC),"Amy Yee Tennis Center (AYTC) 2000 Martin Luther King Jr. WAY S Seattle, WA, 98144",2024-11-02  07:00:00-19:00:00
283,AYTC Outdoor Tennis Court 05,Tennis Court - Outdoor (AYTC),"Amy Yee Tennis Center (AYTC) 2000 Martin Luther King Jr. WAY S Seattle, WA, 98144",2024-11-02  07:00:00-19:00:00
282,AYTC Outdoor Tennis Court 04,Tennis Court - Outdoor (AYTC),"Amy Yee Tennis Center (AYTC) 2000 Martin Luther King Jr. WAY S Seattle, WA, 98144",2024-11-02  07:00:00-19:00:00
281,AYTC Outdoor Tennis Court 03,Tennis Court - Outdoor (AYTC),"Amy Yee Tennis Center (AYTC) 2000 Martin Luther King Jr. WAY S Seattle, WA, 98144",2024-11-02  07:00:00-19:00:00
280,AYTC Outdoor Tennis Court 02,Tennis Court - Outdoor (AYTC),"Amy Yee Tennis Center (AYTC) 2000 Martin Luther King Jr. WAY S Seattle, WA, 98144",2024-11-02  07:00:00-19:00:00
279,AYTC Outdoor Tennis Court 01,Tennis Court - Outdoor (AYTC),"Amy Yee Tennis Center (AYTC) 2000 Martin Luther King Jr. WAY S Seattle, WA, 98144","2024-11-02  07:00:00-10:00:00
2024-11-02  10:00:00-19:00:00"
1147,Alki Playfield Tennis Court 02,Tennis Court - Outdoor (Citywide),"Alki Playfield 5817 SW Lander ST Seattle, WA, 98136",2024-11-02  08:30:00-00:00:00
1146,Alki Playfield Tennis Court 01,Tennis Court - Outdoor (Citywide),"Alki Playfield 5817 SW Lander ST Seattle, WA, 98136",2024-11-02  08:30:00-00:00:00
